序号,Id,昵称,所在地,类型,节点,层级,关注数,粉丝数,Label,Source,Target
1587,5323486782,天空树下的绘梨花,江苏 扬州,0,1,1,133,56,天空树下的绘梨花,5323486782,1323527941
1586,3199837654,毕竟你桃,辽宁 抚顺,0,1,1,310,413,毕竟你桃,3199837654,1323527941
1585,1727183533,Jinception,上海 卢湾区,0,1,1,561,5212,Jinception,1727183533,1323527941
1678,1709827017,Erinus,其他,0,1585,2,460,770,Erinus,1709827017,1727183533
1584,2689674352,我不管我就是Vivien,浙江 湖州,0,1,1,272,234,我不管我就是Vivien,2689674352,1323527941
1583,1245297303,浦浦864,,0,1,1,895,1576,浦浦864,1245297303,1323527941
1582,1780450312,眼科陈费清医生,,0,1,1,216,406,眼科陈费清医生,1780450312,1323527941
1581,5574677688,极美网-jimm-cn,北京 海淀区,0,1,1,172,188,极美网-jimm-cn,5574677688,1323527941
1580,1245553417,大天狗茨木快快来的包子君,山东 淄博,0,1,1,1891,1057,大天狗茨木快快来的包子君,1245553417,1323527941
1579,5342256257,jiangbaobao201410,广东 珠海,0,1,1,75,173,jiangbaobao201410,5342256257,1323527941
1578,1226475907,民敢辞涅槃,海外 美国,0,1,1,595,208,民敢辞涅槃,1226475907,1323527941
1577,2099724530,里脊肉夹饼,安徽 合肥,0,1,1,1948,275,里脊肉夹饼,2099724530,1323527941
1576,1860968250,姚玮玮玮玮玮玮,海外 美国,0,1,1,2975,938,姚玮玮玮玮玮玮,1860968250,1323527941
1575,2263491334,火山灰Drunk,上海 金山区,0,1,1,270,254,火山灰Drunk,2263491334,1323527941
1574,2099187874,深圳报业地产,,0,1,1,739,22324,深圳报业地产,2099187874,1323527941
1572,3165851051,LemonTree柠檬树-,海外 其他,0,1,1,150,55,LemonTree柠檬树-,3165851051,1323527941
1571,1789045601,父子光影,,0,1,1,2870,4088,父子光影,1789045601,1323527941
1570,1622994173,菜頭粿變身mayuyu努力中,,0,1,1,344,1403,菜頭粿變身mayuyu努力中,1622994173,1323527941
1569,2137848941,caesar000,广东 广州,0,1,1,205,84,caesar000,2137848941,1323527941
1568,2750966705,爱夏1120摩羯,吉林 长春,0,1,1,603,173,爱夏1120摩羯,2750966705,1323527941
1567,1427577680,爱森斯坦,,0,1,1,536,669,爱森斯坦,1427577680,1323527941
1679,1826329607,-塔安_,辽宁 大连,0,1567,2,517,925,-塔安_,1826329607,1427577680
1565,3124024393,喂你含笑半步癫,江苏 宿迁,0,1,1,194,142,喂你含笑半步癫,3124024393,1323527941
1563,1891812097,果味羊-颠颠郭,,0,1,1,153,201,果味羊-颠颠郭,1891812097,1323527941
1561,1626207253,元气少女-西,辽宁 大连,0,1,1,343,445,元气少女-西,1626207253,1323527941
1560,1945428005,Cecilia677,,0,1,1,420,343,Cecilia677,1945428005,1323527941
1559,1847089165,_Kyle_L,广西 南宁,0,1,1,167,130,_Kyle_L,1847089165,1323527941
1558,1914327137,铁皮纽扣D38,,0,1,1,2033,841,铁皮纽扣D38,1914327137,1323527941
1557,2263491334,火山灰Drunk,上海 金山区,0,1,1,270,254,火山灰Drunk,2263491334,1323527941
1556,5578488001,李大柱sport,河北 邯郸,0,1,1,907,233,李大柱sport,5578488001,1323527941
1555,2733504635,_胖丁儿_,,0,1,1,603,141,_胖丁儿_,2733504635,1323527941
1554,2091230153,马峦山前,,0,1,1,540,754,马峦山前,2091230153,1323527941
1684,2009500727,庄波一,,0,1554,2,2048,1494,庄波一,2009500727,2091230153
1688,1740729167,品花-我不见了,上海 黄浦区,0,1684,3,1416,5810,品花-我不见了,1740729167,2009500727
1691,1262242360,心落落,,0,1688,4,208,994,心落落,1262242360,1740729167
1692,1198593913,樱冢月儿,,0,1691,5,459,1273,樱冢月儿,1198593913,1262242360
1689,1742655290,魔法少年阿萨辛,陕西 西安,0,1688,4,661,269,魔法少年阿萨辛,1742655290,1740729167
1553,1640642140,阿力古无尽号,,0,1,1,1700,1275,阿力古无尽号,1640642140,1323527941
1551,1772513054,11eleven11eleven,,0,1,1,958,332,11eleven11eleven,1772513054,1323527941
1549,1710810174,你這個樣子讓我很惆悵,,0,1,1,777,222,你這個樣子讓我很惆悵,1710810174,1323527941
1547,1712524910,元气制杖少女黄大花,,0,1,1,547,480,元气制杖少女黄大花,1712524910,1323527941
1546,3708038975,荒荒智障仙人,重庆 北碚区,0,1,1,197,72,荒荒智障仙人,3708038975,1323527941
1544,1899373067,白龙爷卍,,0,1,1,1858,4718297,白龙爷卍,1899373067,1323527941
