序号,Id,昵称,所在地,类型,节点,层级,关注数,粉丝数,Label,Source,Target
7971,5513184418,-Centaurs,海外,1,1066,1,216,31,-Centaurs,5513184418,1323527941
7972,1981764525,华胥氏民,陕西 西安,1,1066,1,776,224,华胥氏民,1981764525,1323527941
7973,1795399400,连连要做梦想家,河南 平顶山,1,1066,1,47,110,连连要做梦想家,1795399400,1323527941
7974,1933990210,_金泫雅__,,1,1066,1,346,1523,_金泫雅__,1933990210,1323527941
7975,5513184418,-Centaurs,海外,1,1066,1,216,31,-Centaurs,5513184418,1323527941
7976,3075838471,Oriannnna,江苏 苏州,1,1066,1,355,99,Oriannnna,3075838471,1323527941
7977,1454869361,女娲也填补不了我的脑洞,湖北,1,1066,1,157,155,女娲也填补不了我的脑洞,1454869361,1323527941
7978,5513184418,-Centaurs,海外,1,1066,1,216,31,-Centaurs,5513184418,1323527941
7979,1847967847,Pro-King,陕西 西安,1,1066,1,478,424,Pro-King,1847967847,1323527941
7980,3221025224,Albert__Sun,广东 深圳,1,1066,1,1035,139,Albert__Sun,3221025224,1323527941
7981,1795184694,Cloudy安无忆,四川 成都,1,1066,1,197,182,Cloudy安无忆,1795184694,1323527941
7982,2695814002,一半截儿,河北 保定,1,1066,1,191,57,一半截儿,2695814002,1323527941
7983,1855935774,顿成-,广东 深圳,1,1066,1,659,140,顿成-,1855935774,1323527941
7984,2231420881,超级赛亚捡馅饼苚,河南 南阳,1,1066,1,258,113,超级赛亚捡馅饼苚,2231420881,1323527941
7985,1728999460,EC哲豪,广东 东莞,1,1066,1,546,707,EC哲豪,1728999460,1323527941
7986,5714798517,江南小野花2014,广东 广州,1,1066,1,209,66,江南小野花2014,5714798517,1323527941
7987,1296870021,YKX小可,其他,1,1066,1,473,221,YKX小可,1296870021,1323527941
7988,5593891898,忁躁的绅士,浙江,1,1066,1,62,12,忁躁的绅士,5593891898,1323527941
7989,2246652640,镇花仙子,海外,1,1066,1,179,395,镇花仙子,2246652640,1323527941
7990,1609572933,无糖杂粮,海外 英国,1,1066,1,503,209,无糖杂粮,1609572933,1323527941
7991,2122969403,哩哩_U,河北,1,1066,1,171,129,哩哩_U,2122969403,1323527941
7992,5649131002,冷静Skksa,黑龙江 齐齐哈尔,1,1066,1,60,27,冷静Skksa,5649131002,1323527941
7993,1986285955,黃黃黃黃大妹子,,1,1066,1,175,416,黃黃黃黃大妹子,1986285955,1323527941
7994,2586914737,松风涤影,江苏 南京,1,1066,1,94,93,松风涤影,2586914737,1323527941
7995,1845002100,郭汉生V,广东 广州,1,1066,1,353,1116,郭汉生V,1845002100,1323527941
7996,2448424752,天蓬元帅王美飘,,1,1066,1,173,216,天蓬元帅王美飘,2448424752,1323527941
7997,1007050917,春天的太空之旅,其他,1,1066,1,29,50,春天的太空之旅,1007050917,1323527941
7998,1928845010,W---king-,,1,1066,1,93,354,W---king-,1928845010,1323527941
7999,1804454110,伯牙绝弦断了弦,,1,1066,1,335,588,伯牙绝弦断了弦,1804454110,1323527941
8000,1919877777,龙丶lzs,,1,1066,1,243,490,龙丶lzs,1919877777,1323527941
8001,5513184418,-Centaurs,海外,1,1066,1,216,31,-Centaurs,5513184418,1323527941
8002,5907534289,西北政法大学_法律援助部,陕西 西安,1,1066,1,10,52,西北政法大学_法律援助部,5907534289,1323527941
8003,1830426441,Twenty_Eight_,海外 澳大利亚,1,1066,1,263,781,Twenty_Eight_,1830426441,1323527941
8004,1691898284,肥猫Gaffey,,1,1066,1,361,1003,肥猫Gaffey,1691898284,1323527941
8005,1933990210,_金泫雅__,,1,1066,1,346,1523,_金泫雅__,1933990210,1323527941
8006,1933990210,_金泫雅__,,1,1066,1,346,1523,_金泫雅__,1933990210,1323527941
8007,1933990210,_金泫雅__,,1,1066,1,346,1523,_金泫雅__,1933990210,1323527941
8008,2383784963,Susan-Qiao,,1,1066,1,188,5405,Susan-Qiao,2383784963,1323527941
8009,5968118508,老坎妹,,1,1066,1,73,11,老坎妹,5968118508,1323527941
8010,5593891898,忁躁的绅士,浙江,1,1066,1,62,12,忁躁的绅士,5593891898,1323527941
8011,1604737175,阳光不惧逆风,海外 其他,1,1066,1,108,55,阳光不惧逆风,1604737175,1323527941
8012,1296870021,YKX小可,其他,1,1066,1,473,221,YKX小可,1296870021,1323527941
8013,1631271934,罗瞳瞳,重庆 南岸区,1,1066,1,351,719,罗瞳瞳,1631271934,1323527941
8014,5513184418,-Centaurs,海外,1,1066,1,216,31,-Centaurs,5513184418,1323527941
8015,3095884227,多特萌侠,江苏 南京,1,1066,1,171,88,多特萌侠,3095884227,1323527941
8016,5639953466,puer_47382,安徽 阜阳,1,1066,1,33,2,puer_47382,5639953466,1323527941
8017,5639953466,puer_47382,安徽 阜阳,1,1066,1,33,2,puer_47382,5639953466,1323527941
8018,2455306063,失散多年的少主,其他,1,1066,1,100,71,失散多年的少主,2455306063,1323527941
8019,1240901694,那么志能做什么呢,,1,1066,1,218,658,那么志能做什么呢,1240901694,1323527941
8020,1255971637,羊角辫子007,海外 美国,1,1066,1,566,350,羊角辫子007,1255971637,1323527941
8021,3956937456,男神太多ID写不下,广西 南宁,1,1066,1,360,330,男神太多ID写不下,3956937456,1323527941
8022,5513184418,-Centaurs,海外,1,1066,1,216,31,-Centaurs,5513184418,1323527941
8023,1661030361,米小卡Mi,江苏 南京,1,1066,1,190,82,米小卡Mi,1661030361,1323527941
8024,3096146527,李叔叔的小野鹿,广东 广州,1,1066,1,472,164,李叔叔的小野鹿,3096146527,1323527941
8025,1776734551,昵称什么的好烦躁呀,其他,1,1066,1,230,69,昵称什么的好烦躁呀,1776734551,1323527941
8026,1787764690,Kimibaaaby,其他,1,1066,1,46,82,Kimibaaaby,1787764690,1323527941
8027,1885952774,不做倒霉蛋,海外 英国,1,1066,1,199,341,不做倒霉蛋,1885952774,1323527941
8028,2244830492,lovehlhlhl,,1,1066,1,66,22,lovehlhlhl,2244830492,1323527941
8029,2627417573,水蜜桃味的小雪儿_,福建 福州,1,1066,1,221,557,水蜜桃味的小雪儿_,2627417573,1323527941
8030,1634567454,____Absinthe,,1,1066,1,361,179,____Absinthe,1634567454,1323527941
8031,1730395595,Parker瘦瘦,,1,1066,1,128,595,Parker瘦瘦,1730395595,1323527941
8032,2683185385,幸运泱,内蒙古 呼和浩特,1,1066,1,388,161,幸运泱,2683185385,1323527941
8033,2683185385,幸运泱,内蒙古 呼和浩特,1,1066,1,388,161,幸运泱,2683185385,1323527941
8034,2292601214,獨一呉二,,1,1066,1,127,137,獨一呉二,2292601214,1323527941
8035,5089961953,我是7044,新疆,1,1066,1,62,104,我是7044,5089961953,1323527941
8036,2546950820,花信风xh,江苏 南京,1,1066,1,132,72,花信风xh,2546950820,1323527941
8037,1296870021,YKX小可,其他,1,1066,1,473,221,YKX小可,1296870021,1323527941
8038,1923834183,氏贺Y太,上海 普陀区,1,1066,1,332,238,氏贺Y太,1923834183,1323527941
8039,2292601214,獨一呉二,,1,1066,1,127,137,獨一呉二,2292601214,1323527941
8040,2809611034,asd太祖56,广东 广州,1,1066,1,129,105,asd太祖56,2809611034,1323527941
8041,5126152339,田不酸,湖北 荆门,1,1066,1,137,22,田不酸,5126152339,1323527941
8042,1710465342,甜七小姐,重庆,1,1066,1,464,523,甜七小姐,1710465342,1323527941
8043,5126152339,田不酸,湖北 荆门,1,1066,1,137,22,田不酸,5126152339,1323527941
