id,uid,昵称,所在地,转发时间,节点,层级,转发数,评论数,点赞数,内容
1663,1421804340,梦晨伤,,2016-07-25 09:14,1596,2,3,9,0,误以为……啥意思，正前方竖一个大牌子“您已到达安全地带，欢迎下次光临”？//@他回精神病院了:转发微博
1677,1824180754,杨凡之胜者为王,江苏 南京,2016-07-25 09:24,1663,3,0,0,0,要讹钱了。//@梦晨伤: 误以为……啥意思，正前方竖一个大牌子“您已到达安全地带，欢迎下次光临”？//@他回精神病院了:转发微博
1676,5581614696,最后的和稀泥人,其他,2016-07-25 10:41,1663,3,0,0,0,//@梦晨伤: 误以为……啥意思，正前方竖一个大牌子“您已到达安全地带，欢迎下次光临”？//@他回精神病院了:转发微博
1675,1926001183,唯有时光,浙江 杭州,2016-07-25 12:12,1663,3,0,0,0,推脱责任讹钱的节奏//@梦晨伤:误以为……啥意思，正前方竖一个大牌子“您已到达安全地带，欢迎下次光临”？//@他回精神病院了:转发微博
1662,2170097493,Super露露露,重庆 渝中区,2016-07-25 09:15,1596,2,0,0,0,有视频的啊  当群众瞎啊  自己惹的事就自己担了呀  当时下车的时候怎么不想想后果？ //@他回精神病院了:转发微博
1661,1721123042,磨牙不误早起,,2016-07-25 09:18,1596,2,0,0,0,我是来看评论的 //@他回精神病院了:转发微博
1659,1216353004,创想老刘,,2016-07-25 09:28,1596,2,0,0,0,//@他回精神病院了: 转发微博
1658,3907443241,渊博的三哥666,北京 东城区,2016-07-25 09:30,1596,2,0,0,0,自以为是的恶果//@他回精神病院了:转发微博
1657,3255701183,阿敏SYS,河北 石家庄,2016-07-25 09:48,1596,2,0,0,0,//@他回精神病院了:转发微博
1656,1790623675,思念如刀-平凡,北京 海淀区,2016-07-25 10:30,1596,2,0,0,0,扯淡，肯定没去过八达岭野生动物园，每个猛兽区之间都是两道闸门先后打开，车辆在中间过渡区等待然后分批进入、离开的，他们进入老虎区的时候肯定已经经过一次了，不可能误认为已经离开。不作死就不会死。活该，不过谣言是真够多的了。//@他回精神病院了: 转发微博
1654,1865782255,花溪姐,吉林,2016-07-25 11:37,1596,2,0,0,0,这说辞准备讹诈动物园了！必须赔钱了。网上为什么一直说二个人吵架呢？肯定是活着的男方供述，没有人故意冤枉他们。 //@他回精神病院了:转发微博
1651,1609753720,Ada伊,广东 江门,2016-07-25 12:40,1596,2,0,0,0,亲友能不睁眼说瞎话吗？后面好几个车，就算出来了也不是你想停车就停车吧，你脑残吧你 //@他回精神病院了:转发微博
1650,2652953471,雷母丹顶菲,,2016-07-25 20:57,1596,2,0,0,0,//@他回精神病院了:转发微博
1649,5976758646,关你球事儿,山东 青岛,2016-07-26 14:53,1596,2,0,0,0,老虎误以为自己是只病猫，咬不死人。//@他回精神病院了:转发微博
1595,2708809167,雪裳夏影,其他,2016-07-25 09:01,1,1,0,1,0,这挽尊姿态给零分明显要甩锅动物园啊，问题是她确定出了虎园就是绵羊区么
1593,1736091223,请叫我doll桑,海外 其他,2016-07-25 09:02,1,1,0,0,0,那样子不是吵架？误认为？没脑子还是不认识中国字？呵呵，如果动物园赔钱或者老虎被安乐死，那才让人心寒呢？
1592,3243371072,狐Nick,四川 成都,2016-07-25 09:02,1,1,0,0,0,一车人都误认为出了？长不长心
1590,1086691187,哭了又笑了我,海外,2016-07-25 09:02,1,1,0,0,0,葩葩害人
1588,2697281140,追自己n,,2016-07-25 09:03,1,1,0,0,0,建议动物园驱赶老虎
1587,5323486782,天空树下的绘梨花,江苏 扬州,2016-07-25 09:03,1,1,0,0,0,这个理由好啊 又能甩锅了
1586,3199837654,毕竟你桃,辽宁 抚顺,2016-07-25 09:03,1,1,0,0,0,开始讹钱了。
1585,1727183533,Jinception,上海 卢湾区,2016-07-25 09:04,1,1,1,0,0,出虎园需要给老公开门？？？矫情智障就不要洗了！保佑老虎都平安！
1678,1709827017,Erinus,其他,2016-07-25 09:16,1585,2,0,0,0,“1，绿色吉普车为动物园巡逻车，事发大众车停下时，曾用喇叭反复喊不要下车，但女子未予理会”误以为已出园？//@Jinception: 出虎园需要给老公开门？？？矫情智障就不要洗了！保佑老虎都平安！
1584,2689674352,我不管我就是Vivien,浙江 湖州,2016-07-25 09:04,1,1,0,0,0,评论方向基本一致
1583,1245297303,浦浦864,,2016-07-25 09:05,1,1,0,1,0,说话比官员还假，这都不认错？感觉被害死的不是自己亲妈吧？这癫婆娘活逼该！
1582,1780450312,眼科陈费清医生,,2016-07-25 09:05,1,1,0,0,0,@克里斯慢骡夫司机@下岗的兵
1581,5574677688,极美网-jimm-cn,北京 海淀区,2016-07-25 09:05,1,1,0,0,0,误以为？哪有脸说误？
1580,1245553417,大天狗茨木快快来的包子君,山东 淄博,2016-07-25 09:05,1,1,0,0,0,。。。。
1579,5342256257,jiangbaobao201410,广东 珠海,2016-07-25 09:05,1,1,0,3,0,有过错的应该是动物园方，明知道这么危险还要人们进入，设行车道，自驾游？本身就是安全措施疏忽。应该全封闭管理。这才是最安全的。不是让游客签订生死安全协议书。老虎为什么会行至机动车道？ 为什么只是喇叭吆喝？为什么不及时使用麻醉枪？
1578,1226475907,民敢辞涅槃,海外 美国,2016-07-25 09:06,1,1,0,0,0,//@帮我带盐呀库拉:然后后续这么发展的，被咬的家属告动物园，说没有警示标示，导致被害一方误认为自己出了园区，然后讹钱，园区一方表示已将两只老虎就地正法，并赔偿被害方相关损失。
1577,2099724530,里脊肉夹饼,安徽 合肥,2016-07-25 09:06,1,1,0,0,0,转发微博
1576,1860968250,姚玮玮玮玮玮玮,海外 美国,2016-07-25 09:06,1,1,0,0,0,//@Crows_：就是想要点钱，误以为，呵呵。
1575,2263491334,火山灰Drunk,上海 金山区,2016-07-25 09:06,1,1,0,0,0,不是吵架那是你撒娇咯？
1574,2099187874,深圳报业地产,,2016-07-25 09:06,1,1,0,0,0,转发微博
1572,3165851051,LemonTree柠檬树-,海外 其他,2016-07-25 09:06,1,1,0,0,0,
1571,1789045601,父子光影,,2016-07-25 09:06,1,1,0,1,0,哎，把老妈害死了
1570,1622994173,菜頭粿變身mayuyu努力中,,2016-07-25 09:06,1,1,0,2,0,好啦，那边伤者才出手术室这边就开始找借口准备讹钱了～下一步就是去人家动物园门口闹事儿了吧？
1569,2137848941,caesar000,广东 广州,2016-07-25 09:07,1,1,0,0,0,转发微博
1568,2750966705,爱夏1120摩羯,吉林 长春,2016-07-25 09:07,1,1,0,1,0,自己没死，救她的母亲死了、凭什么，不要脸，自己自作主张犯的错
1567,1427577680,爱森斯坦,,2016-07-25 09:07,1,1,1,0,0,//@渣渣们是时候了：老虎：当时园长让我来的时候跟我说，在车里的不能吃。没毛病啊！怪我咯？
1679,1826329607,-塔安_,辽宁 大连,2016-07-25 09:12,1567,2,0,0,0,老虎招谁惹谁了//@爱森斯坦://@渣渣们是时候了：老虎：当时园长让我来的时候跟我说，在车里的不能吃。没毛病啊！怪我咯？
1565,3124024393,喂你含笑半步癫,江苏 宿迁,2016-07-25 09:07,1,1,0,0,0,旁观者清，我建议相关部门秉公执法按规章办事，我认为老虎无责，入园既以签订协议而且有危险提示标示，而且事发时园方巡逻车到达现场的速度不可谓不快，可以看出园方也是尽职尽责，所以园方和老虎都无罪，至于不作不会死在她们身上演绎的淋漓尽致，所以恶果还是她们自己吃！不要怪别人！
1563,1891812097,果味羊-颠颠郭,,2016-07-25 09:08,1,1,0,0,0,事已经这样，就别想着怎么讹动物园钱了，脑子用在该用的地方多好。
1561,1626207253,元气少女-西,辽宁 大连,2016-07-25 09:08,1,1,0,0,0,一点也不想知道人怎么样了，我只想知道老虎怎么样了。
1560,1945428005,Cecilia677,,2016-07-25 09:08,1,1,0,0,0,转发微博
1559,1847089165,_Kyle_L,广西 南宁,2016-07-25 09:08,1,1,0,0,0,no zuo no die系列，这波我挺老虎。
1558,1914327137,铁皮纽扣D38,,2016-07-25 09:08,1,1,0,0,0,评论竟然没了？
